iter	Passed	Remaining
0	0	160
1	0	160
2	0	156
3	1	156
4	1	156
5	1	155
6	2	153
7	2	152
8	2	150
9	3	150
10	3	150
11	3	150
12	4	150
13	4	149
14	4	148
15	4	147
16	5	146
17	5	146
18	5	146
19	6	146
20	6	146
21	6	145
22	6	145
23	7	144
24	7	144
25	7	143
26	8	143
27	8	143
28	8	143
29	9	143
30	9	142
31	9	143
32	10	143
33	10	143
34	10	143
35	11	142
36	11	142
37	11	141
38	12	141
39	12	141
40	12	141
41	12	140
42	13	140
43	13	140
44	13	139
45	14	139
46	14	139
47	14	138
48	15	138
49	15	138
50	15	137
51	15	137
52	16	136
53	16	136
54	16	136
55	17	135
56	17	135
57	17	134
58	17	134
59	18	134
60	18	133
61	18	133
62	19	132
63	19	132
64	19	132
65	20	131
66	20	131
67	20	131
68	20	130
69	21	130
70	21	130
71	21	129
72	22	129
73	22	128
74	22	128
75	23	128
76	23	128
77	23	128
78	24	128
79	24	127
80	24	127
81	24	127
82	25	127
83	25	126
84	25	126
85	26	126
86	26	125
87	26	125
88	27	125
89	27	124
90	27	124
91	28	124
92	28	124
93	28	123
94	28	123
95	29	123
96	29	123
97	29	122
98	30	122
99	30	122
100	30	121
101	31	121
102	31	121
103	31	121
104	32	120
105	32	120
106	32	120
107	33	120
108	33	119
109	33	119
110	34	119
111	34	119
112	34	118
113	34	118
114	35	118
115	35	117
116	35	117
117	36	117
118	36	116
119	36	116
120	37	116
121	37	115
122	37	115
123	37	115
124	38	114
125	38	114
126	38	114
127	39	113
128	39	113
129	39	113
130	40	113
131	40	112
132	40	112
133	41	112
134	41	111
135	41	111
136	41	111
137	42	110
138	42	110
139	42	110
140	43	109
141	43	109
142	43	109
143	43	108
144	44	108
145	44	108
146	44	107
147	45	107
148	45	107
149	45	107
150	46	106
151	46	106
152	46	106
153	47	106
154	47	105
155	47	105
156	48	105
157	48	104
158	48	104
159	49	104
160	49	104
161	49	103
162	49	103
163	50	103
164	50	102
165	50	102
166	51	102
167	51	101
168	51	101
169	52	101
170	52	100
171	52	100
172	52	100
173	53	99
174	53	99
175	53	99
176	54	98
177	54	98
178	54	98
179	55	97
180	55	97
181	55	97
182	55	96
183	56	96
184	56	96
185	56	95
186	57	95
187	57	95
188	57	95
189	58	95
190	59	95
191	59	95
192	59	95
193	60	94
194	60	94
195	60	94
196	60	93
197	61	93
198	61	93
199	61	92
200	62	92
201	62	92
202	62	91
203	63	91
204	63	91
205	63	91
206	64	90
207	64	90
208	64	90
209	65	89
210	65	89
211	65	89
212	65	88
213	66	88
214	66	88
215	66	87
216	67	87
217	67	87
218	67	86
219	68	86
220	68	86
221	68	86
222	69	85
223	69	85
224	69	85
225	70	84
226	70	84
227	70	84
228	71	84
229	71	83
230	71	83
231	72	83
232	72	82
233	72	82
234	72	82
235	73	81
236	73	81
237	73	81
238	74	80
239	74	80
240	74	80
241	75	80
242	75	79
243	75	79
244	76	79
245	76	78
246	76	78
247	76	78
248	77	77
249	77	77
250	77	77
251	78	76
252	78	76
253	78	76
254	79	75
255	79	75
256	79	75
257	80	75
258	80	74
259	80	74
260	80	74
261	81	73
262	81	73
263	81	73
264	82	72
265	82	72
266	82	72
267	83	71
268	83	71
269	83	71
270	84	71
271	84	70
272	84	70
273	85	70
274	85	69
275	85	69
276	85	69
277	86	68
278	86	68
279	86	68
280	87	67
281	87	67
282	87	67
283	88	66
284	88	66
285	88	66
286	89	66
287	89	65
288	89	65
289	89	65
290	90	64
291	90	64
292	90	64
293	91	63
294	91	63
295	91	63
296	92	62
297	92	62
298	92	62
299	93	62
300	93	61
301	93	61
302	93	61
303	94	60
304	94	60
305	94	60
